describle,evaluate,introduce,movie_name,serial_number,star
希望让人自由。,1062864人评价,,肖申克的救赎,1,9.6
风华绝代。,774612人评价,,霸王别姬,2,9.5
怪蜀黍和小萝莉不得不说的故事。,991246人评价,,这个杀手不太冷,3,9.4
一部美国近现代史。,843943人评价,,阿甘正传,4,9.4
最美的谎言。,493342人评价,,美丽人生,5,9.5
失去的才是永恒的。 ,783089人评价,,泰坦尼克号,6,9.3
最好的宫崎骏，最好的久石让。 ,790765人评价,,千与千寻,7,9.3
拯救一个人，就是拯救整个世界。,447770人评价,,辛德勒的名单,8,9.4
诺兰给了我们一场无法盗取的梦。,878800人评价,,盗梦空间,9,9.3
小瓦力，大人生。,576692人评价,,机器人总动员,10,9.3
英俊版憨豆，高情商版谢耳朵。,792195人评价,,三傻大闹宝莱坞,11,9.2
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,674540人评价,,海上钢琴师,12,9.2
永远都不能忘记你所爱的人。,550820人评价,,忠犬八公的故事,13,9.2
天籁一般的童声，是最接近上帝的存在。 ,531049人评价,,放牛班的春天,14,9.2
一生所爱。,581687人评价,,大话西游之大圣娶亲,15,9.2
如果再也不能见到你，祝你早安，午安，晚安。,555964人评价,,楚门的世界,16,9.1
人人心中都有个龙猫，童年就永远不会消失。,490524人评价,,龙猫,17,9.1
千万不要记恨你的对手，这样会让你失去理智。,397150人评价,,教父,18,9.2
爱是一种力量，让我们超越时空感知它的存在。,582858人评价,,星际穿越,19,9.2
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,323323人评价,,熔炉,20,9.2
满满温情的高雅喜剧。,431124人评价,,触不可及,21,9.2
Tomorrow is another day.,307611人评价,,乱世佳人,22,9.2
香港电影史上永不过时的杰作。,474893人评价,,无间道,23,9.1
平民励志片。 ,627454人评价,,当幸福来敲门,24,8.9
真正的幸福是来自内心深处。,661633人评价,,怦然心动,25,8.9
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,345929人评价,,天堂电影院,26,9.1
1957年的理想主义。 ,196943人评价,,十二怒汉,27,9.4
瑰丽壮观、无人能及的冒险之旅。,658904人评价,,少年派的奇幻漂流,28,9.0
无尽的黑暗。,382784人评价,,蝙蝠侠：黑暗骑士,29,9.1
对敌人的仁慈，就是对自己残忍。,270166人评价,,鬼子来了,30,9.2
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,443167人评价,,搏击俱乐部,31,9.0
张艺谋最好的电影。,318338人评价,,活着,32,9.1
史诗的终章。,323762人评价,,指环王3：王者无敌,33,9.1
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,612584人评价,,疯狂动物城,34,9.1
对天空的追逐，永不停止。 ,381322人评价,,天空之城,35,9.0
旷古烁今。,468374人评价,,大话西游之月光宝盒,36,8.9
爱情哪怕只有一天。,438205人评价,,罗马假日,37,8.9
最后那些最无聊的事情，才是最值得怀念的。 ,571109人评价,,飞屋环游记,38,8.9
比利·怀德满分作品。,120332人评价,,控方证人,39,9.6
别样人生。,257806人评价,,窃听风暴,40,9.1
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,303588人评价,,两杆大烟枪,41,9.1
自由万岁。,308715人评价,,飞越疯人院,42,9.0
史上最美的探戈。,370571人评价,,闻香识女人,43,8.9
带着心爱的人在天空飞翔。,407939人评价,,哈尔的移动城堡,44,8.9
电影的现实意义大过电影本身。,248618人评价,,辩护人,45,9.1
海豚的微笑，是世界上最高明的伪装。,200853人评价,,海豚湾,46,9.3
一张面具背后的理想与革命。,479608人评价,,V字仇杀队,47,8.8
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,319078人评价,,死亡诗社,48,9.0
优雅的孤独。,214194人评价,,教父2,49,9.1
爱是一切逻辑和原由。,343202人评价,,美丽心灵,50,8.9
承前启后的史诗篇章。,304327人评价,,指环王2：双塔奇兵,51,9.0
传说的开始。,340737人评价,,指环王1：魔戒再现,52,8.9
人生不能像做菜，把所有的料都准备好了才下锅。,233022人评价,,饮食男女,53,9.1
暗恋的极致。,423224人评价,,情书,54,8.8
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,544421人评价,,摔跤吧！爸爸,55,9.1
往事如烟，无处祭奠。,197262人评价,,美国往事,56,9.1
动物版《哈姆雷特》。,318230人评价,,狮子王,57,8.9
音乐能化解仇恨。,226283人评价,,钢琴家,58,9.0
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,215087人评价,,素媛,59,9.1
法式小清新。 ,532379人评价,,天使爱美丽,60,8.7
奔跑的孩子是天使。,159622人评价,,小鞋子,61,9.2
警察抓小偷，老鼠玩死猫。,479668人评价,,七宗罪,62,8.7
以戏谑来戏谑戏谑。,332948人评价,,被嫌弃的松子的一生,63,8.9
孪生蝙蝠侠大战克隆金刚狼。,386413人评价,,致命魔术,64,8.8
在时间之河里感受溺水之苦。,438571人评价,,本杰明·巴顿奇事,65,8.8
用音乐化解仇恨，让歌声串起美好。,257511人评价,,音乐之声,66,8.9
史诗大片的典范。,321547人评价,,勇敢的心,67,8.8
美丽无罪。,399891人评价,,西西里的美丽传说,68,8.8
浪漫忧郁的成人童话。,536811人评价,,剪刀手爱德华,69,8.7
故事的高级讲法。,376031人评价,,低俗小说,70,8.8
视觉革命。,316651人评价,,黑客帝国,71,8.8
美利坚精神输出大片No1.,270460人评价,,拯救大兵瑞恩,72,8.9
安东尼·霍普金斯的顶级表演。,393686人评价,,沉默的羔羊,73,8.7
你以为你以为的就是你以为的。,403488人评价,,看不见的客人,74,8.7
你给我翻译翻译，神马叫做TMD的惊喜。,699301人评价,,让子弹飞,75,8.7
人的命运被自己瞬间的抉择改变。,425737人评价,,蝴蝶效应,76,8.7
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,345087人评价,,入殓师,77,8.8
爱情纠缠，男女一致。,279405人评价,,春光乍泄,78,8.8
经典之作，历久弥新。,116437人评价,,大闹天宫,79,9.3
你是我最好的朋友，你是我唯一的朋友 。,249007人评价,,玛丽和马克思,80,8.9
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,199358人评价,,末代皇帝,81,9.0
人生中应该拥有这样的一段豁然开朗。,304417人评价,,心灵捕手,82,8.8
一场华丽的意淫。,302173人评价,,阳光灿烂的日子,83,8.8
人与自然的战争史诗。,261373人评价,,幽灵公主,84,8.8
深入内心的恐怖，出人意料的结局。,259688人评价,,第六感,85,8.8
小清新的故事里注入了大历史的情怀。,360669人评价,,布达佩斯大饭店,86,8.8
寂寞没有期限。,371028人评价,,重庆森林,87,8.7
昔日翩翩少年，今日大腹便便。,402312人评价,,禁闭岛,88,8.7
童话世界的开端。,296897人评价,,哈利·波特与魔法石,89,8.7
人言可畏。,148396人评价,,狩猎,90,9.0
骗子大师和执著警探的你追我跑故事。 ,262911人评价,,猫鼠游戏,91,8.8
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,278812人评价,,大鱼,92,8.7
最不可能的那个人永远是最可能的。,354520人评价,,致命ID,93,8.7
每个人心中都有一座断背山。,354172人评价,,断背山,94,8.7
相逢只要一瞬间，等待却像是一辈子。,254524人评价,,甜蜜蜜,95,8.8
百看不厌。 ,304936人评价,,射雕英雄传之东成西就,96,8.7
我们都曾经是一一。,171696人评价,,一一,97,8.9
没有一人完全善，也没有一人完全恶。,377406人评价,,告白,98,8.7
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,297340人评价,,阳光姐妹淘,99,8.8
约翰尼·德普的独角戏。,384457人评价,,加勒比海盗,100,8.6
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,169925人评价,,穿条纹睡衣的男孩,101,8.9
被上帝抛弃了的上帝之城。,170412人评价,,上帝之城,102,8.9
大时代中的人生，小人物的悲喜。,101239人评价,,摩登时代,103,9.2
绝对意义上的美轮美奂。,581455人评价,,阿凡达,104,8.6
缘分是个连绵词，最美不过一瞬。,245545人评价,,爱在黎明破晓前,105,8.7
年度最佳date movie。,398055人评价,,消失的爱人,106,8.7
动画片的圣经。,193635人评价,,风之谷,107,8.8
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,218663人评价,,爱在日落黄昏时,108,8.7
少女情怀总是诗。,188077人评价,,侧耳倾听,109,8.8
穷尽一生，我们要学会的，不过是彼此拥抱。,194003人评价,,超脱,110,8.8
梦的勾结。,152280人评价,,红辣椒,111,8.9
恐怖分子的“秋菊打官司”。,252132人评价,,恐怖直播,112,8.7
两张绝世的脸。 ,284991人评价,,倩女幽魂,113,8.6
那些静得只能听见呼吸的日子里，你明白孤独即生活。,152402人评价,,小森林 夏秋篇,114,8.9
我是一个演员。,355403人评价,,喜剧之王,115,8.6
和谐的生活离不开摸头与被摸头。,313571人评价,,驯龙高手,116,8.7
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,204189人评价,,菊次郎的夏天,117,8.7
有时候幸福需要等一等。 ,245516人评价,,幸福终点站,118,8.7
幸福是生生不息，却难以触及的远。 ,222882人评价,,萤火虫之墓,119,8.7
曾经的那段美好会沉淀为一辈子的记忆。,239168人评价,,借东西的小人阿莉埃蒂,120,8.7
岁月流逝，来日可追。,330676人评价,,岁月神偷,121,8.6
时代悲歌。,85165人评价,,七武士,122,9.2
关于连环杀人悬案的集体回忆。,229128人评价,,杀人回忆,123,8.7
Mr. I Don't Care其实也有Care的时候。,417517人评价,,神偷奶爸,124,8.5
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,423509人评价,,贫民窟的百万富翁,125,8.5
中国家庭的喜怒哀乐忍。,154292人评价,,喜宴,126,8.8
真相就在眼前。,215319人评价,,电锯惊魂,127,8.7
爱，是个动词。,339230人评价,,真爱至上,128,8.5
像吃了苏打饼一样干脆的电影。,195786人评价,,谍影重重3,129,8.7
大海啊，不全是水。,104196人评价,,海洋,130,9.0
电影诗。,274541人评价,,东邪西毒,131,8.6
不要给它起名字，起了名字就有感情了。,265772人评价,,怪兽电力公司,132,8.6
一个针管引发的血案。,302554人评价,,记忆碎片,133,8.5
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,224611人评价,,雨人,134,8.6
黑暗之美。,451057人评价,,黑天鹅,135,8.5
老少皆宜，这就是好莱坞动画的魅力。,400241人评价,,疯狂原始人,136,8.7
当这个世界闭上双眼，他却敞开了怀抱。,131041人评价,,卢旺达饭店,137,8.9
传奇，不是每个人都可以拥有。,157395人评价,,燃情岁月,138,8.7
永远看不腻的喜剧。,114647人评价,,虎口脱险,139,8.9
英雄泪短，兄弟情长。 ,186943人评价,,英雄本色,140,8.6
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,132249人评价,,小森林 冬春篇,141,8.9
《我是山姆》的《美丽人生》。,196486人评价,,7号房的礼物,142,8.7
10年的完美句点。,298037人评价,,哈利·波特与死亡圣器(下),143,8.7
爱是摈弃傲慢与偏见之后的曙光。,330334人评价,,傲慢与偏见,144,8.5
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,198053人评价,,心迷宫,145,8.6
始于荒诞，止于更荒诞。,159075人评价,,荒蛮故事,146,8.8
触不到的恋人。,175194人评价,,萤火之森,147,8.7
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,308826人评价,,恋恋笔记本,148,8.5
坏人的好总是比好人的好来得更感人。,89761人评价,,完美的世界,149,9.0
任何信念的力量，都无法改变命运。,143108人评价,,教父3,150,8.8
我们都有权利不与自己的过去和解。,218295人评价,,海边的曼彻斯特,151,8.6
香港浪漫主义警匪动作片的巅峰之作。,162199人评价,,纵横四海,152,8.7
偷情本没有这样美。,268626人评价,,花样年华,153,8.5
跨度十五年的欢乐与泪水。,206459人评价,,玩具总动员3,154,8.8
不可猜的青春迷笛。 ,264399人评价,,猜火车,155,8.5
中国式内在的美国电影。,138408人评价,,魂断蓝桥,156,8.8
爱上未来的你。 ,199304人评价,,穿越时空的少女,157,8.6
沉醉在电影的情感和视听氛围中无法自拔。,195466人评价,,请以你的名字呼唤我,158,8.8
华太师是黄霑，吴镇宇四大才子之一。,366009人评价,,唐伯虎点秋香,159,8.4
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,223127人评价,,时空恋旅人,160,8.6
骨灰级歌舞片。,99643人评价,,雨中曲,161,9.0
Balalala~~~,405614人评价,,超能陆战队,162,8.6
诺兰就是保证。,318252人评价,,蝙蝠侠：黑暗骑士崛起,163,8.6
爱并不需要智商 。,113883人评价,,我是山姆,164,8.8
有一些东西不应该被遗忘。,112963人评价,,二十二,165,8.7
对爱的执着，可以超越一切。,205470人评价,,人工智能,166,8.6
松鼠才是角儿。,292898人评价,,冰川时代,167,8.4
世界离独裁只有五天。,143162人评价,,浪潮,168,8.7
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,294064人评价,,朗读者,169,8.5
一个单凭体香达到高潮的男人。,296917人评价,,香水,170,8.4
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,258857人评价,,爆裂鼓手,171,8.6
人生的N种可能性。,136495人评价,,罗生门,172,8.7
好的剧本是，就算你猜到了结局也猜不到全部。,108648人评价,,未麻的部屋,173,8.8
Jared Leto的腿比女人还美！,190237人评价,,达拉斯买家俱乐部,174,8.7
只有有信仰的人才能说出事实真相。,141860人评价,,一次别离,175,8.7
诺兰的牛逼来源于内心散发出的恐惧。,88144人评价,,追随,176,8.9
王家卫是一种风格，张国荣是一个代表。,221290人评价,,阿飞正传,177,8.5
坚硬的信仰。,138636人评价,,可可西里,178,8.7
天使与魔鬼的冲撞。,184839人评价,,撞车,179,8.6
不要企图在重复中寻找已经失去的爱。,355372人评价,,恐怖游轮,180,8.3
做一颗让别人需要你的棋子。,186104人评价,,战争之王,181,8.6
热血沸腾，那个低俗、性感的无耻混蛋又来了。,278136人评价,,被解救的姜戈,182,8.6
天使保护事件始末。,92662人评价,,地球上的星星,183,8.8
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,348093人评价,,血战钢锯岭,184,8.7
一场没有春天的噩梦。,119540人评价,,梦之安魂曲,185,8.7
弱者送给弱者的一刀。,115891人评价,,牯岭街少年杀人事件,186,8.7
愿我们都不用长大，每一座城堡都能永远存在。,248304人评价,,头脑特工队,187,8.7
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,171571人评价,,房间,188,8.8
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,211070人评价,,魔女宅急便,189,8.5
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,205235人评价,,谍影重重,190,8.5
谁说王家卫镜头很晃？,170350人评价,,谍影重重2,191,8.6
故事的反转与反转，分裂电影的始祖。,90625人评价,,惊魂记,192,8.9
养狗三日，便会对你终其一生。,65783人评价,,忠犬八公物语,193,9.0
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,238172人评价,,青蛇,194,8.4
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,276245人评价,,模仿游戏,195,8.6
爱我就给我看你的播放列表。,185806人评价,,再次出发之纽约遇见你,196,8.5
我的平常生活就是他人的幸福。,68049人评价,,无人知晓,197,9.0
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,55495人评价,,东京物语,198,9.2
想你时你在闹海。,87374人评价,,哪吒闹海,199,8.9
惠及一生的美丽。,133429人评价,,一个叫欧维的男人决定去死,200,8.7
,175716人评价,,小萝莉的猴神大叔,201,8.5
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,111989人评价,,碧海蓝天,202,8.7
,218106人评价,,完美陌生人,203,8.6
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,518663人评价,,你的名字。,204,8.4
没有了退路，只好飞向自由。,112657人评价,,末路狂花,205,8.7
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,433808人评价,,源代码,206,8.3
少见的超越首部的续集，动作片中的经典。,150879人评价,,终结者2：审判日,207,8.6
青春就是放弃和怀念。,321023人评价,,秒速5厘米,208,8.3
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,167569人评价,,黑客帝国3：矩阵革命,209,8.5
嬉笑怒骂，调风动月。,197879人评价,,新龙门客栈,210,8.5
天使暂时离开。,113721人评价,,绿里奇迹,211,8.7
生命不止，摇滚不死。,172539人评价,,海盗电台,212,8.6
科幻真正的魅力不是视觉效果能取代的。 ,195552人评价,,这个男人来自地球,213,8.5
类型片的极致。 ,150088人评价,,勇闯夺命岛,214,8.6
永远的小人物，伟大的卓别林。,47993人评价,,城市之光,215,9.2
世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,132422人评价,,卡萨布兰卡,216,8.6
昆汀同学越来越变态了，比北野武还杜琪峰。,237213人评价,,无耻混蛋,217,8.4
黑小鸭速效美白记。,492476人评价,,初恋这件小事,218,8.3
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,226473人评价,,变脸,219,8.4
我完全康复了。,196716人评价,,发条橙,220,8.4
生病的E.T.皮肤的颜色就像柿子饼。,163708人评价,,E.T. 外星人,221,8.5
最棒的西部片。,55292人评价,,黄金三镖客,222,9.1
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,125624人评价,,爱在午夜降临前,223,8.8
每个人的内心都是深不可测的大海。 ,196293人评价,,美国丽人,224,8.4
出门必备：本草纲目。,134841人评价,,荒野生存,225,8.6
最美的飞翔。,53916人评价,,迁徙的鸟,226,9.1
迪士尼和皮克斯拿错剧本的产物。,197243人评价,,无敌破坏王,227,8.6
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,85099人评价,,步履不停,228,8.8
中国版《两杆大烟枪》。,339349人评价,,疯狂的石头,229,8.3
"In memory, love lives forever...",181729人评价,,英国病人,230,8.4
现实与童话交相辉映的旅程。,112048人评价,,燕尾蝶,231,8.6
我不信仰上帝，但我敬畏上帝。,123718人评价,,非常嫌疑犯,232,8.6
小成本大魅力。,196302人评价,,彗星来的那一夜,233,8.4
热血沸腾，相当完美的娱乐拳击大餐。,92255人评价,,勇士,234,8.9
皇上无话儿。,360165人评价,,国王的演讲,235,8.3
每个美丽事物背后都是滴血的现实。,142292人评价,,血钻,236,8.5
乐观比一切都有力量。,114776人评价,,叫我第一名,237,8.6
大卫·林奇的梦境迷宫。,248282人评价,,穆赫兰道,238,8.3
,140984人评价,,海街日记,239,8.6
,137241人评价,,聚焦,240,8.8
纯净原始的笑与感动。,101192人评价,,上帝也疯狂,241,8.6
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,106220人评价,,枪火,242,8.6
你要相信，这世上真的有爱存在，不管在什么年纪 ,62193人评价,,我爱你,243,9.0
用剩余不多的时间，去燃烧整个生命。,138987人评价,,遗愿清单,244,8.5
捍卫人权只是信仰，一点不妨碍其行为的残忍。,100822人评价,,大卫·戈尔的一生,245,8.6
还原真实而残酷的战争。,124245人评价,,黑鹰坠落,246,8.5
一个人的独角戏。,143314人评价,,荒岛余生,247,8.5
